"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1988M08","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.2",""
"1988M08","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.7",""
"1988M08","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"1988M08","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6","p"
"1988M08","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.9",""
"1988M08","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"1988M08","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"1988M08","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.0",""
"1988M08","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.8",""
"1988M08","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.3",""
"1988M08","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M08","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6",""
"1988M08","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.6",""
"1988M09","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"1988M09","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.9",""
"1988M09","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.1",""
"1988M09","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.4",""
"1988M09","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"1988M09","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6","p"
"1988M09","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.9",""
"1988M09","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"1988M09","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"1988M09","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.9",""
"1988M09","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.8",""
"1988M09","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"1988M09","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M09","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.4",""
"1988M09","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.5",""
"1988M10","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.3",""
"1988M10","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.1",""
"1988M10","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.0",""
"1988M10","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.0",""
"1988M10","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.9",""
"1988M10","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8","p"
"1988M10","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.8",""
"1988M10","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"1988M10","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"1988M10","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.8",""
"1988M10","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.8",""
"1988M10","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.0",""
"1988M10","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M10","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.4",""
"1988M10","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"1988M11","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"1988M11","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.2",""
"1988M11","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.8",""
"1988M11","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.7",""
"1988M11","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"1988M11","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8","p"
"1988M11","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.8",""
"1988M11","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"1988M11","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"1988M11","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.7",""
"1988M11","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.7",""
"1988M11","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"1988M11","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M11","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.3",""
"1988M11","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"1988M12","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"1988M12","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"1988M12","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.7",""
"1988M12","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.6",""
"1988M12","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"1988M12","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8","p"
"1988M12","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.8",""
"1988M12","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"1988M12","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.3",""
"1988M12","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"1988M12","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.4",""
"1988M12","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"1988M12","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1988M12","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.3",""
"1988M12","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"1989M01","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"1989M01","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5",""
"1989M01","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.5",""
"1989M01","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.5",""
"1989M01","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"1989M01","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8","p"
"1989M01","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.7",""
"1989M01","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"1989M01","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.2",""
"1989M01","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"1989M01","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.5",""
"1989M01","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"1989M01","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"1989M01","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M01","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.4",""
"1989M01","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.3",""
"1989M02","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"1989M02","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6",""
"1989M02","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.4",""
"1989M02","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.3",""
"1989M02","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"1989M02","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8","p"
"1989M02","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.7",""
"1989M02","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"1989M02","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.2",""
"1989M02","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.5",""
"1989M02","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.7",""
"1989M02","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"1989M02","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"1989M02","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M02","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.2",""
"1989M02","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.3",""
"1989M03","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"1989M03","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"1989M03","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.2",""
"1989M03","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.1",""
"1989M03","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"1989M03","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8","p"
"1989M03","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.7",""
"1989M03","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"1989M03","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.2",""
"1989M03","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.4",""
"1989M03","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","1.6",""
"1989M03","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"1989M03","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"1989M03","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M03","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"1989M03","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.4",""
"1989M04","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"1989M04","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M04","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M04","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"1989M04","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M04","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M04","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.1",""
"1989M04","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M04","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.9",""
"1989M04","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"1989M04","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1989M04","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8","p"
"1989M04","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
