"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1983M02","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"1983M02","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.7",""
"1983M02","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.8",""
"1983M02","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M02","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.4",""
"1983M02","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.7",""
"1983M03","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Czechia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.3",""
"1983M03","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.4",""
"1983M03","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"1983M03","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2","p"
"1983M03","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
"1983M03","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":",""
